INDEX,TIMESTAMP,TWEET,USER NAME,ID,USER LOCATION,USER DESCRIPTION,FOLLOWERS COUNT,VERIFIED STATUS,FRIENDS COUNT,STATUSES COUNT,CREATION TIME,GEO ENABLED,LOCATION,REPLY COUNT,RETWEET COUNT,LIKE COUNT,RETWEETED,FAVORITED,HASHTAGS,LANGUAGE,TAG,SEVERITY-SCORE
1768,Sun Nov 03 20:23:26 +0000 2019,Kirk is gonna have to go win this game. Yikes.... #MINvsKC,Seth Engelken,ENGI2216,,,351,False,887,10603,Mon Oct 03 21:17:30 +0000 2011,False,,0,0,0,False,False,[{'text': 'MINvsKC'}],en,MINvsKC,7.929500000000001
1769,Sun Nov 03 20:23:27 +0000 2019,"RT @NFL: Ameer Abdullah could not be more wide open. #SKOL

@Ameerguapo’s TD puts the @Vikings ahead in Kansas City! #MINvsKC

📺: FOX
📱: NF…",Ted Dixon Jr.,teddyD66,"St. Louis, Missouri","Free-lance writer and overall news junkie. Educator. Likes music from years past, movies, sports and family. Cal State Fullerton and Webster University grad.",285,False,1593,178137,Sun Sep 08 22:46:52 +0000 2013,True,,0,0,0,False,False,"[{'text': 'MINvsKC'}, {'text': 'MINvsKC'}]",en,MINvsKC,5.0
1770,Sun Nov 03 20:23:31 +0000 2019,Hill so fast caught him quick 🤣,JoeGee,Joegallagher21,Orlando Fl /Denali Ak ,yeah I Techno!! R.I.P. mom n pop.   JoeGee🎧,684,False,912,14365,Mon Apr 04 17:19:19 +0000 2011,True,,0,0,0,False,False,[],en,MINvsKC,7.4695
1771,Sun Nov 03 20:23:31 +0000 2019,Dude that's not suppose happen never!,🔥👣🔪Dez_unleashed🔥👣🔪,cult_of_dez,camp crystal lake,@roxie_rae @AkiraxxShell @ayla_aysel_xo @Ivy_secretxxx @MsWhitneymorgan @DaceyHarlotXXX @Indicafetish @baileyxpaige #horror #martalarts,564,False,566,11000,Sat Dec 08 03:27:49 +0000 2018,False,,0,0,0,False,False,[],en,MINvsKC,5.0
1772,Sun Nov 03 20:23:31 +0000 2019,RT @wtfBRIZ: Tyreek an asshole lmao https://t.co/ibKImfKK92,K-pop my cherry®,Kyleketsu,The Moon,LDW & DJC | Reaching for the moon | #RollTide & #GoPackGo,875,False,78,84848,Wed Jan 12 04:15:43 +0000 2011,False,,0,0,0,False,False,[],en,MINvsKC,7.997000000000001
1773,Sun Nov 03 20:23:33 +0000 2019,"RT @NitrogenSports: Damien Williams goes for 91 yards and the touchdown 😱 #MINvsKC

https://t.co/jVCjGNjJ9B",BetFast.com,BetFastBTC,,Yes you can #bet with #Bitcoin at #Sportsbook http://btf.st/Nitrogen and #BuyBitcoin at http://btf.st/CoinMama | Start #BitcoinBetting Today!,607,False,891,327755,Fri Dec 16 21:14:48 +0000 2016,False,,0,0,0,False,False,[{'text': 'MINvsKC'}],en,MINvsKC,1.4985
1774,Sun Nov 03 20:23:33 +0000 2019,RT @Alyricz: There’s no way a human should be as fast as Tyreek Hill. Wtf??? He was behind the play and had to slow up not to pass his team…,Septembers Very Own,SMACKABLE_,WishaniggaWoods,IDGAF 😚😊🤗,98,False,1174,7287,Wed Mar 08 21:08:53 +0000 2017,False,,0,0,0,False,False,[],en,MINvsKC,1.851
1775,Sun Nov 03 20:23:33 +0000 2019,TYREEK Hill is absurdly fast,⭐️,ALLiZMENTAL,NEWPORT NEWS VIRGINIA,Hannnnn,2009,False,771,21824,Wed Dec 05 05:22:56 +0000 2018,True,,0,0,0,False,False,[],en,MINvsKC,5.0
1776,Sun Nov 03 20:23:33 +0000 2019,Looks like @buttkicker7 enjoyed that one. #ChiefsKingdom #MINvsKC,David,DavieC82,Glasgow,"For there is nothing either good or bad, but thinking makes it so. It’s ok to not be ok.",209,False,346,12846,Sat Jul 18 20:30:51 +0000 2009,False,,0,0,0,False,False,"[{'text': 'MINvsKC'}, {'text': 'MINvsKC'}]",en,MINvsKC,8.5015
1777,Sun Nov 03 20:23:34 +0000 2019,RT @notlexkaneki: HILL FAST AS FUCK WTF https://t.co/m850RZOb8h,Septembers Very Own,SMACKABLE_,WishaniggaWoods,IDGAF 😚😊🤗,98,False,1174,7288,Wed Mar 08 21:08:53 +0000 2017,False,,0,0,0,False,False,[],en,MINvsKC,0.6605
